Feature,Mean,Std,Min,Max,Q1,Median,Q3
spec_centroid_mean,-6.40128590774865e-16,1.0005008765653411,-2.2804672345020336,3.119983398986781,-0.8048479784527226,0.01770003574227532,0.6833330535983941
spec_rolloff_mean,-6.82803830159856e-16,1.0005008765653411,-2.4287218769385825,2.607145082320066,-0.7578456126586317,0.0569923490797031,0.6103182946210732
zcr_mean,1.4225079794997e-17,1.0005008765653411,-1.9606884413121048,4.089826384834387,-0.7962770099192598,-0.09713692100299132,0.6802243999199662
rms_mean,-5.192154125173906e-16,1.0005008765653411,-1.9116737498457625,4.062556345484207,-0.6741534520612764,-0.13200333236304623,0.6814724386724756
tempo,9.424115364185513e-17,1.0005008765653411,-2.157464358055915,4.1183674304849305,-0.709195483777259,-0.06552042854230072,0.5950934439356836
mfcc1_mean,5.6900319179988e-17,1.0005008765653411,-4.0666330878252825,1.861167471067056,-0.5628654272400625,0.24279143971686967,0.7049371517380618
mfcc1_std,-9.24630186674805e-17,1.0005008765653411,-2.1672252705973083,5.402558705423716,-0.7125264874708674,-0.07692713506827475,0.6322459919735905
mfcc2_mean,-5.6900319179988e-17,1.0005008765653411,-3.2261062189607848,2.987352301986874,-0.7269906543187368,-0.03523928369253973,0.6468070982928453
mfcc2_std,2.8450159589994e-17,1.0005008765653411,-2.083292860038678,5.00622024662541,-0.7265863244821734,-0.10866942567979564,0.5587738335265842
mfcc3_mean,-3.55626994874925e-18,1.0005008765653411,-3.7317758862538972,3.023584561084682,-0.704910713118388,-0.08330619396023456,0.6671768953559989
mfcc3_std,-1.99151117129958e-16,1.0005008765653411,-2.445840374110092,5.497100929905798,-0.7146229383716929,-0.10650496426773298,0.6014123754602956
mfcc4_mean,-7.468166892373426e-17,1.0005008765653411,-3.306051632523874,2.665124270440466,-0.7308870388712482,0.03964499617626584,0.7170474541355969
mfcc4_std,1.84926037334961e-16,1.0005008765653411,-2.2227803762015124,4.109916855021819,-0.7801904333553145,-0.041400436290428555,0.675486566419178
mfcc5_mean,-1.778134974374625e-18,1.0005008765653411,-3.0898645566221687,2.665993564221949,-0.7234649711366588,0.09092446165263122,0.7424358885703618
mfcc5_std,2.4182635651494903e-16,1.0005008765653411,-2.051963061770072,5.706535189764296,-0.7516164811412918,-0.11486736116895988,0.6697196612624041
mfcc6_mean,-4.623150933374025e-17,1.0005008765653411,-3.636883660011775,2.579556075631126,-0.8072951449807177,0.033581526435326886,0.7779911586442874
mfcc6_std,2.4182635651494903e-16,1.0005008765653411,-2.2113604256234063,4.072806451646221,-0.7501642448388353,-0.08316073011105478,0.6193461919472347
mfcc7_mean,5.6900319179988e-17,1.0005008765653411,-2.7974896459176377,2.7111351443753477,-0.7792235843203633,-0.05982030462119474,0.8160127650343254
mfcc7_std,-1.4225079794997e-17,1.0005008765653411,-1.984308898385977,3.743882504494692,-0.7393973383515025,-0.0964431250468117,0.6197877111050344
mfcc8_mean,-1.4225079794997e-17,1.0005008765653411,-3.350173226438993,3.7176085724539147,-0.8144775374737707,-0.043982602917653116,0.8224625401987012
mfcc8_std,4.2675239384991e-16,1.0005008765653411,-2.1511577127379664,5.074682939214203,-0.7737391139751602,-0.09323432862038415,0.6344662389266644
