Feature,Mean,Median,Std,Variance,Min,Max,Q1 (25%),Q2 (50%),Q3 (75%),IQR,Skewness,Kurtosis,CV (%)
duration,221.43679630683613,178.29442176870748,198.75067641235827,39501.83137436995,7.964444444444444,2209.773424036281,117.7077551020408,178.29442176870748,255.6865306122449,137.9787755102041,3.759421745247921,24.625317707485944,89.75503607673107
sr,22050.0,22050.0,0.0,0.0,22050.0,22050.0,22050.0,22050.0,22050.0,0.0,0.0,0.0,0.0
spec_centroid_mean,1598.9505484152996,1488.69554631267,751.6952455562052,565045.7421918036,256.4001222451222,5815.725098070115,997.1155560280021,1488.69554631267,2021.6362267464701,1024.520670718468,1.149734164269382,2.5277650973771038,47.01178821954195
spec_rolloff_mean,3181.9888547288656,2911.484866184681,1618.2307590373912,2618670.7894947315,392.1617590862772,7761.044079417914,1843.7544372974328,2911.484866184681,4261.82868303875,2418.074245741317,0.5879481769677789,-0.35498034618470786,50.855953082063174
zcr_mean,0.07701497103119727,0.06887408475647186,0.04864506471024456,0.0023663423206638804,0.0077846839106151,0.5030970334268576,0.04827246636730345,0.06887408475647186,0.09326863484912265,0.0449961684818192,3.5540132335612427,22.20937421563102,63.16312797227358
rms_mean,0.13038674668794814,0.13015996664762491,0.06697002021692135,0.004484983607854854,0.006083991844207,0.3366532027721405,0.07866562902927393,0.13015996664762491,0.17747821286320686,0.09881258383393293,0.31108908018690123,-0.3565847702273941,51.36259774714625
tempo,119.82405867676492,117.45383522727272,32.08313376028259,1029.3274718801847,30.76171875,287.109375,99.38401442307692,117.45383522727272,135.99917763157896,36.61516320850204,0.697753750132965,1.9064975311058583,26.775202004156306
mfcc1_mean,-207.05760182517457,-193.10818481445312,104.65860557514297,10953.423720933348,-549.3862915039062,10.440149307250977,-274.4211959838867,-193.10818481445312,-124.96147155761719,149.45972442626953,-0.5187184609050146,-0.23465364206830097,-50.54564751672803
mfcc1_std,78.840904750672,77.89025497436523,25.60581784868533,655.6579077000522,10.578351020812988,184.26904296875,60.554444313049316,77.89025497436523,95.9933338165283,35.43888950347899,0.42097564940642357,0.6929260189123947,32.4778335936931
mfcc2_mean,123.88926340004362,123.47292709350586,45.13842320305987,2037.4772492585341,-110.51026916503906,251.7625732421875,96.45164489746094,123.47292709350586,154.02279663085938,57.57115173339844,-0.9373574040454771,3.75363111430712,36.43449154855818
mfcc2_std,32.58941264741449,30.95572853088379,10.786235723958624,116.3428810928012,4.9642181396484375,78.4576416015625,25.11274290084839,30.95572853088379,37.97795867919922,12.86521577835083,0.8021447827188539,1.088553567252649,33.09736152858944
mfcc3_mean,-2.6060982378537347,-3.455646276473999,31.519022070116517,993.448752256492,-137.70562744140625,90.34788513183594,-18.66151523590088,-3.455646276473999,19.412569522857666,38.074084758758545,-0.6622516531536673,1.873378358914175,-1209.4333825295153
mfcc3_std,23.257298440097337,22.106592178344727,8.11947518439669,65.92587727003365,4.002437591552734,63.993106842041016,17.567326068878174,22.106592178344727,28.42751121520996,10.860185146331787,0.8056186201937766,1.3317098460231134,34.91151478882905
mfcc4_mean,19.495585542112828,21.11006259918213,18.895449118267862,357.0379973810497,-87.08587646484375,85.87883758544922,9.612170457839966,21.11006259918213,30.969020366668698,21.356849908828732,-0.7822166024086326,3.1968690935662205,96.92168043607309
mfcc4_std,15.470897551551758,14.737913608551025,5.107617895352195,26.087760564921993,3.481982469558716,39.54399108886719,11.933390617370605,14.737913608551025,17.935087203979492,6.001696586608887,1.153754399142357,2.54165795443156,33.01436053294718
