label,label_encoded
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
blues,0
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
classical,1
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
country,2
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
disco,3
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
hiphop,4
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
jazz,5
