track_id,file_path,label
3,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000003.mp3,Hip-Hop
134,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000134.mp3,Hip-Hop
136,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000136.mp3,Rock
139,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000139.mp3,Folk
181,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000181.mp3,Rock
198,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000198.mp3,Folk
208,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000208.mp3,Folk
209,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000209.mp3,Folk
237,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000237.mp3,Jazz
247,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000247.mp3,Rock
249,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000249.mp3,Rock
257,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000257.mp3,Rock
258,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000258.mp3,Rock
341,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000341.mp3,Rock
343,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000343.mp3,Rock
352,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000352.mp3,Rock
369,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000369.mp3,Rock
397,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000397.mp3,Electronic
398,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000398.mp3,Electronic
399,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000399.mp3,Electronic
400,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000400.mp3,Electronic
405,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000405.mp3,Electronic
414,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000414.mp3,Electronic
425,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000425.mp3,Experimental
458,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000458.mp3,Rock
512,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000512.mp3,Rock
535,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000535.mp3,Folk
536,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000536.mp3,Folk
537,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000537.mp3,Folk
550,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000550.mp3,Electronic
564,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000564.mp3,Rock
573,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000573.mp3,Rock
583,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000583.mp3,Hip-Hop
584,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000584.mp3,Hip-Hop
585,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000585.mp3,Hip-Hop
590,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000590.mp3,Jazz
591,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000591.mp3,Jazz
592,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000592.mp3,Jazz
593,/kaggle/input/fma-free-music-archive-small-medium/fma_medium/fma_medium/000/000593.mp3,Jazz
